a_water,avg_irrad,avg_rad,b,fd_flag,flux,na,ns,num_scatters
0.1,4.730761990813275,4.730761990813275,0.09271535610166441,False,2037.281982421875,8,72,3
0.1,4.761136298224849,0.46783100934876687,0.09271535610166441,True,2109.29150390625,10,72,0
0.1,4.736474500908736,4.736474500908736,0.09271535610166441,False,2104.41650390625,10,72,0
0.1,4.734965460618882,4.734965460618882,0.09271535610166441,False,2035.0770263671875,10,72,1
0.1,4.727782068437193,4.727782068437193,0.09271535610166441,False,2037.378662109375,10,72,2
0.1,4.730761990813275,4.730761990813275,0.09271535610166441,False,2037.281982421875,10,72,3
0.1,4.60193423990088,0.44703376548351104,0.16178549736197073,True,1655.5755615234375,10,8,0
0.1,4.736474500908736,4.736474500908736,0.16178549736197073,False,2104.41650390625,10,8,0
0.1,4.7338412711601965,4.7338412711601965,0.16178549736197073,False,1983.425537109375,10,8,1
0.1,4.711968419228942,4.711968419228942,0.16178549736197073,False,1990.4505615234375,10,8,2
0.1,4.727801619471151,4.727801619471151,0.16178549736197073,False,1989.915771484375,10,8,3
0.1,4.678925039072306,0.45571038244478734,0.16178549736197073,True,1758.0692138671875,10,16,0
0.1,4.736474500908736,4.736474500908736,0.16178549736197073,False,2104.41650390625,10,16,0
0.1,4.7338412711601965,4.7338412711601965,0.16178549736197073,False,1983.425537109375,10,16,1
0.1,4.711968419228942,4.711968419228942,0.16178549736197073,False,1990.4505615234375,10,16,2
0.1,4.727801619471151,4.727801619471151,0.16178549736197073,False,1989.915771484375,10,16,3
0.1,4.776511870186426,0.46252416688756404,0.16178549736197073,True,2029.0174560546875,10,32,0
0.1,4.736474500908736,4.736474500908736,0.16178549736197073,False,2104.41650390625,10,32,0
0.1,4.7338412711601965,4.7338412711601965,0.16178549736197073,False,1983.425537109375,10,32,1
0.1,4.711968419228942,4.711968419228942,0.16178549736197073,False,1990.4505615234375,10,32,2
0.1,4.727801619471151,4.727801619471151,0.16178549736197073,False,1989.915771484375,10,32,3
0.1,4.762147946417258,0.461046113269284,0.16178549736197073,True,2060.11376953125,10,48,0
0.1,4.736474500908736,4.736474500908736,0.16178549736197073,False,2104.41650390625,10,48,0
0.1,4.7338412711601965,4.7338412711601965,0.16178549736197073,False,1983.425537109375,10,48,1
0.1,4.711968419228942,4.711968419228942,0.16178549736197073,False,1990.4505615234375,10,48,2
0.1,4.727801619471151,4.727801619471151,0.16178549736197073,False,1989.915771484375,10,48,3
0.1,4.756243828603563,0.46045077859840855,0.16178549736197073,True,2064.28857421875,10,64,0
0.1,4.736474500908736,4.736474500908736,0.16178549736197073,False,2104.41650390625,10,64,0
0.1,4.7338412711601965,4.7338412711601965,0.16178549736197073,False,1983.425537109375,10,64,1
0.1,4.711968419228942,4.711968419228942,0.16178549736197073,False,1990.4505615234375,10,64,2
0.1,4.727801619471151,4.727801619471151,0.16178549736197073,False,1989.915771484375,10,64,3
0.1,4.956384284221305,0.44262401660241785,0.16178549736197073,True,2184.663330078125,4,72,0
0.1,4.736474500908736,4.736474500908736,0.16178549736197073,False,2104.41650390625,4,72,0
